ID_GDO_Well_Name	X	Y	Z_asl	Vertical_Well_Length_ne_MD
675044	-698031.62	-963623.7	306.02	6
675045	-698056.47	-963501.81	298.05	6
675046	-698075.86	-963523	297.77	6
675047	-698166.39	-963403.27	306.42	7
675048	-698233.43	-963345.1	289.63	10
675049	-698284.98	-963267.83	286.43	6
675050	-698297.27	-963239.14	291.54	12
675051	-698347.76	-963192.25	298.13	10
675052	-698557.06	-962964.53	318.28	9
675053	-698611.97	-962909.96	319.88	9
675054	-698669	-962840.01	320.18	8
675055	-698761.3	-962733.88	316.38	10
675056	-698829.09	-962784.63	320.85	8
675057	-698970.13	-962616.34	322.21	4
675058	-699380.05	-962684.78	324.89	7
675059	-699471.66	-962708.29	324	7
675060	-699557.29	-962733.93	321.59	5
675061	-699663.43	-962765.4	317.95	8
675062	-699969.7	-962757.54	320.26	6
675065	-698280	-963268	286.2	10
676076	-701402.53	-962647.51	268.5	4
678886	-701268	-963540	251	30
688614	-698333.59	-962365.21	275	95
689101	-701763.82	-961752.4	264.94	8
689102	-701777.7	-961750.52	264.79	8
689103	-701767.97	-961735.6	265.07	8
692583	-702474	-962854	244.15	11
696993	-700127.5	-964806.5	261.8	6
696994	-700104	-964818	263.9	6
696995	-700098.5	-964801	263.3	6
696996	-700114	-964838	262.6	6
696997	-700113	-964795	262.3	6
696998	-700113	-964814.5	263.1	6
696999	-700127.5	-964827	261.6	5
697000	-700130.5	-964842	261.5	5
709091	-699095.65	-962433.11	318.97	20
709092	-699208.12	-962573.47	321.44	20
709093	-699060.76	-962637.54	322.53	20
709094	-698971.94	-962544.03	320.83	20
709095	-698778.32	-962537.57	317.13	20
725392	-698385.09	-964658.09	329.95	11
725393	-698591.11	-964877.29	318.43	18
725394	-698400.7	-964589.66	329.43	9
725395	-698562.6	-964910.5	316.74	15
725396	-698684.8	-964943.2	323.55	22
725397	-698747.3	-964547.4	322.01	22
725398	-698637.67	-964462.82	312.94	7
725399	-698584.58	-964565	314.46	8
725400	-698707.79	-964412.56	320.27	23
750375	-698678.34	-960615.6	287.81	71
750376	-697638.31	-961466.84	313.79	85
750378	-697990.3	-961350.97	311.57	101
69254	-696116.8	-966049	338.5	34
69255	-696275.5	-965974.9	325.1	30
69256	-695567.5	-965755.3	350.4	15
69257	-696853.9	-965320.2	336.5	43
69259	-696950.2	-965138	344.5	28
69260	-696923.4	-965022	341.5	48
69261	-696781	-965546.6	327.2	23
69296	-696137.89	-967145.41	277.62	11
69298	-696847.49	-964866.48	332.69	43
69314	-693875	-965010	345	5
69315	-694570	-965050	376	7
69316	-694220	-964950	372	15
69461	-696730	-965910	308	18
69470	-696876	-965942	304	6
69471	-696870	-965926	300.7	6
69472	-696863	-965909	303.8	10
69473	-696924	-965932	311.5	12
69474	-696920	-965893	302.84	4
69475	-696909	-965872	311	10
69476	-696969	-965884	314	11
69477	-696958	-965862	306.6	6
69478	-696946	-965840	314.5	10
69479	-698520	-966800	230	5
69480	-698540	-966800	230	5
69481	-698560	-966800	230	5
69482	-698540	-966820	230	4
69491	-696960	-965700	311.55	16
69492	-696700	-965800	302.14	7
69493	-696500	-967190	277.7	2
69494	-696440	-967160	277.5	10
69495	-695850	-967300	282.6	8
69496	-695820	-967360	285.1	12
69497	-696500	-967180	277.1	8
69498	-696530	-967180	277.7	16
69499	-696590	-967150	278.9	10
69500	-696630	-967170	287.2	8
69501	-696650	-967150	286	8
69505	-696360	-967180	277.7	2
69507	-696020	-967220	279.8	2
69508	-696240	-967190	278.1	2
69509	-696590	-967370	302.9	2
69510	-695440	-967400	311.7	2
69791	-695982.3	-966375.3	289.8	2
69792	-695859	-966366	285.6	2
69816	-696374	-966178	311.4	2
69817	-696423	-965989.5	323.4	3
69818	-696510	-966210.5	310.6	2
69834	-696991	-965542.2	328.9	25
69835	-697086.2	-965573.4	323.17	25
69836	-697062.4	-965728.4	324.2	25
69837	-696968.4	-965681.2	315.4	20
69838	-696997.3	-965663.2	317.4	20
69839	-696983.2	-965742.1	321	26
69840	-696935.4	-965654.7	324.8	30
69841	-697030.8	-965620.5	327	30
69970	-694759	-967696	285.4	4
69971	-694749	-967667.5	286.1	4
69972	-694739.5	-967648.5	288.6	2
69973	-694799.5	-967699.5	285.3	4
69974	-694758	-967574.2	314.1	6
69975	-694715.8	-967585	313.9	6
69981	-694530.5	-965605	342.06	6
69982	-694235	-965624	354.9	6
69983	-694166.5	-965672	363.75	7
70691	-694973	-968022	284.8	4
70692	-694990	-967947	284.6	7
70693	-695002	-967954	284.4	7
70694	-694962	-967927	285.3	8
70695	-695019	-967913	284.2	8
70696	-695000	-967908	284.4	8
70697	-694949	-967879	285.4	7
70698	-695025	-967803	283.5	6
70699	-694999	-967800	283.9	6
70700	-694967	-967798	283.8	6
70701	-694928	-968011	285.9	7
70863	-694943	-967906.2	292	5
70864	-694957	-967911	292	5
70865	-694967	-967918	292	5
70866	-694979	-967897	292	5
70869	-694729	-967753.5	285.2	4
70870	-694772	-967750.5	285.2	4
70871	-694722	-967789	285.6	4
70872	-694807	-967756	285	7
70873	-694863	-967721.5	284.3	5
567157	-694534	-967593	311.79	4
567158	-694972	-967491	317.12	4
567344	-693771.2	-965245	341.6	3
567837	-694770.6	-967802	285.4	6
567838	-694772	-967756	285.2	6
576785	-694801	-967586	312	6
576786	-694786	-967591	312	6
605323	-694743.2	-967779	285.5	3
605324	-694732.5	-967784.6	285.6	3
605325	-694726.6	-967803.4	285.5	3
605326	-694764.7	-967806	285.4	3
621846	-695435	-966154	304.01	4
621847	-695400	-966085	318.42	7
621848	-695278	-965823	346.85	7
621849	-695265	-965645	359.19	8
621850	-695319	-965445	367.25	7
621851	-695669	-965150	354.6	6
621852	-695992	-965006	364.01	9
621853	-696213	-964905	345.75	6
621854	-696583	-964711	346.42	3
621878	-695453	-966199	311.42	7
621907	-695830	-967103	284.74	5
621908	-695717	-966755	312.64	7
621909	-695674	-966639	315.31	7
621910	-695592	-966445	306.88	7
621911	-695547	-966361	314.79	7
634392	-697533	-966857	274.78	6
634393	-697524	-966867	274.94	7
634394	-697484	-966879	276.43	4
634395	-698301	-966540	278.38	4
634396	-698255	-966604	269.38	6
637260	-694528	-965611	342.6	9
645767	-694964.01	-967444.18	325.09	11
645768	-695159.3	-967413.48	320.58	6
675005	-695736.76	-967255.81	290.28	7
675006	-695831.29	-967207.45	284.81	13
675007	-695829.54	-967170.74	283.92	8
675008	-695819.68	-967056.62	286.27	6
675009	-695729.22	-966827.2	309.42	7
675010	-695681.62	-966691.38	316.13	8
675011	-695607.39	-966476.17	308.84	10
675012	-695602.62	-966442.03	306.48	12
675013	-695600.36	-966424.79	300.29	15
675014	-695551.53	-966360.68	314.32	11
675015	-695483.7	-966234.86	311.3	12
675016	-695472.41	-966209.77	310.87	10
675017	-695424.92	-966143.16	304.7	6
675018	-695382.48	-966060.01	321.48	6
675019	-695358.35	-966007.19	328.41	4
675020	-695279.03	-965790.28	349.95	6
675021	-695254.43	-965797.65	347.82	8
675022	-695213.72	-965831.17	343.18	8
675023	-695264.68	-965710.39	354.86	12
675024	-695275.5	-965633.91	360.48	9
675025	-695295.13	-965594.27	363.72	8
675026	-695276.65	-965590.18	362.39	8
675027	-695277.3	-965507.18	364.45	8
675028	-695303.93	-965493.89	365.83	8
675029	-695376.6	-965357.13	367.13	8
675030	-695442.83	-965291.77	367.56	12
675031	-695743.61	-965117.69	359.68	8
675032	-695724.96	-965080.36	360.59	6
675033	-695926	-965034.2	363.65	8
675034	-696067.67	-964968.59	358.87	7
675035	-696720.31	-964677.71	345.52	10
675064	-695290	-965498	365.4	9
678891	-694879	-967602	305	70
692582	-696835.06	-964876.7	333.52	44
708069	-697372	-965977	311	53
709149	-693687.83	-965112.75	346.76	5
713945	-693712.61	-965147.84	342	4
726934	-696876	-966823	290	10
69195	-707454	-965931	388.22	60
69502	-696820	-967160	306.6	6
69503	-697100	-967270	315.3	2.4
69504	-697280	-967380	321.6	0.9
69506	-696930	-967200	298.4	2.4
69741	-697472	-967264.7	300.8	6
69742	-697416	-967173	294.6	6
69743	-697388.7	-967105.5	299.7	9
69744	-697381.5	-967047	297.1	6
69745	-697428	-967047.5	292.2	6
69746	-697463.7	-967054	286.2	5
69747	-697413.7	-967107	295.5	7
69748	-697448.3	-967108.5	288.7	5
69749	-697468.8	-967111.3	292.2	6
69808	-702500	-964950	344.6	81
69809	-702293	-965025	336.8	80
70025	-704452	-968299	369.61	95.5
70087	-704483	-968247	372.6	53
70088	-704428	-968295	369.8	50
70400	-705671.7	-966743.7	382.7	1.5
70401	-705646.1	-966729.5	381.3	2.5
70555	-699803.9	-969638.6	641.5	74
70567	-702807	-968882	352	67.4
70595	-697730	-967585	340.7	7
70597	-698010	-967583	346.1	6
70598	-698328	-967548	350.3	15
70599	-698526	-967674	350.2	18
70603	-698659	-969803	331.2	10
70604	-699043	-969914	360.5	18
70605	-699360	-968365	407.7	15
70606	-697538	-967540	329.4	2
70609	-699225	-968179	388.1	3
70610	-699580	-968511	407.5	2.4
70611	-700084	-968560	405.8	0.9
70686	-694706	-968317	286.4	6
70687	-694790	-968276	285.7	5
70688	-694849	-968197	285.5	5
70689	-694884	-968116	285.3	5
70690	-694908	-968069	285.5	6
70861	-701003	-969480	436.64	142.3
70877	-702403	-969295	360	6
70878	-702432	-969266	360	6
70879	-702476	-969262	360	3
70880	-702569	-969296	360	3
565383	-701634	-966830	395	30.4
565536	-702697	-969085	353.17	120
565537	-702691	-969106	353.34	295.3
626675	-704587.79	-966570.36	491.34	521.2
626680	-701960.54	-968725	364.22	336.1
626684	-701012.39	-969537.5	442.69	185.8
626688	-700854.3	-969621.87	453.71	482
626689	-702664.43	-966935.97	458.87	333.1
626727	-703784.09	-968549.7	373.85	358.1
626728	-704644.25	-967295.52	410.79	580.1
626729	-704218.33	-967828.64	389.17	442.8
626754	-706338.32	-967692.76	426.58	676.1
626755	-705482.31	-968831.34	371.37	437.1
634007	-707395.16	-965985.53	402.25	505
718732	-702839	-964820	367	30
730519	-694678	-968157	289	72
730523	-702474	-964573	344	48
735868	-697369	-966948	293	30
737820	-700699.02	-968618.18	422.69	8.5
737821	-699678.53	-968538.93	408.37	13
JB_CZ_1	-698415.5	-963946.3	322.77	6
JB_CZ_2	-697726.61	-964367.14	326.7	14
JB_CZ_3	-697523.42	-964480.53	323.18	11.8
JB_CZ_4	-697457.78	-964328.04	317.46	20
JB_CZ_5	-697919.48	-964267.74	337.04	14
JB_CZ_6	-697820.21	-964120.58	325.62	16
JB_CZ_7	-697970	-963650	320.28	22
JB_CZ_8	-697667.73	-963957.66	318.66	19
JB_CZ_9	-698288.85	-964048.78	337.52	12
JB_CZ_10	-697764.07	-964610.32	339.71	13.3
JB_CZ_12	-698102.49	-963901.05	316.16	2.5
JB_CZ_13	-698111.33	-963898.18	317.8	2.5
JB_CZ_14	-698121	-963894.23	319.2	3.4
JB_CZ_15	-698142.55	-963885.6	321.33	2.8
JB_CZ_16	-698065.8	-963573.7	300.17	2.5
JB_CZ_17	-698057.34	-963577.36	298.5	2.8
