ID_GDO_Well_Name	TOP_MD_hloubka_m	BASE_MD_hloubka_m	Horizon_index	Horizon_nazev	Autor_interpretace	GIS_X	GIS_Y
F_69241	9.3	20	TNw	TNw	Jan Bohadlo	-700712.7	-962108.6
F_69242	0	5	Q	Q	Jan Bohadlo	-700950.1	-961920.9
F_69242	5	26.7	TNw	TNw	Jan Bohadlo	-700950.1	-961920.9
F_69243	0	0.6	Q	Q	Jan Bohadlo	-700297.2	-962115.1
F_69243	0.6	20	TNw	TNw	Jan Bohadlo	-700297.2	-962115.1
F_69244	0	3.4	Q	Q	Jan Bohadlo	-701011.1	-961876.5
F_69244	3.4	25	TNw	TNw	Jan Bohadlo	-701011.1	-961876.5
F_69245	0	6	Q	Q	Jan Bohadlo	-700869.1	-962406.7
F_69245	6	25.5	TNw	TNw	Jan Bohadlo	-700869.1	-962406.7
F_69246	0	4.1	Q	Q	Jan Bohadlo	-700765.2	-963470.5
F_69246	4.1	50	TB	TB	Jan Bohadlo	-700765.2	-963470.5
F_69247	0	10.5	Q	Q	Jan Bohadlo	-700669.3	-963576.2
F_69247	10.5	40	TB	TB	Jan Bohadlo	-700669.3	-963576.2
F_69248	0	2.3	Q	Q	Jan Bohadlo	-700610.8	-963673.7
F_69248	2.3	11.3	TPw	TPw	Jan Bohadlo	-700610.8	-963673.7
F_69248	11.3	12.8	TB	TB	Jan Bohadlo	-700610.8	-963673.7
F_69248	12.8	16	TPw	TPw	Jan Bohadlo	-700610.8	-963673.7
F_69248	16	17	TB	TB	Jan Bohadlo	-700610.8	-963673.7
F_69248	17	23.5	TPw	TPw	Jan Bohadlo	-700610.8	-963673.7
F_69248	23.5	36	TB	TB	Jan Bohadlo	-700610.8	-963673.7
F_69249	0	5.3	Q	Q	Jan Bohadlo	-700360.2	-963590.3
F_69249	5.3	24.7	TPw	TPw	Jan Bohadlo	-700360.2	-963590.3
F_69249	24.7	27.4	TB	TB	Jan Bohadlo	-700360.2	-963590.3
F_69249	27.4	28	X	XX_Neinterpretovatelny_interval_vrtu	Jan Bohadlo	-700360.2	-963590.3
F_69250	0	4.3	Q	Q	Jan Bohadlo	-700557.2	-963564.5
F_69250	4.3	13.7	TPw	TPw	Jan Bohadlo	-700557.2	-963564.5
F_69250	13.7	21	TB	TB	Jan Bohadlo	-700557.2	-963564.5
F_69250	21	24	TPw	TPw	Jan Bohadlo	-700557.2	-963564.5
F_69251	0	4.3	Q	Q	Jan Bohadlo	-700603.4	-963333.2
F_69251	4.3	15.5	TPw	TPw	Jan Bohadlo	-700603.4	-963333.2
F_69251	15.5	16.7	TB	TB	Jan Bohadlo	-700603.4	-963333.2
F_69251	16.7	17.3	TPw	TPw	Jan Bohadlo	-700603.4	-963333.2
F_69251	17.3	18.5	TB	TB	Jan Bohadlo	-700603.4	-963333.2
F_69251	18.5	19.3	TPw	TPw	Jan Bohadlo	-700603.4	-963333.2
F_69251	19.3	20	TB	TB	Jan Bohadlo	-700603.4	-963333.2
F_69251	20	20.6	TPw	TPw	Jan Bohadlo	-700603.4	-963333.2
F_69251	20.6	21.6	TB	TB	Jan Bohadlo	-700603.4	-963333.2
F_69251	21.6	22.6	TPw	TPw	Jan Bohadlo	-700603.4	-963333.2
F_69251	22.6	41.3	TB	TB	Jan Bohadlo	-700603.4	-963333.2
F_69251	41.3	42.7	X	XX_Neinterpretovatelny_interval_vrtu	Jan Bohadlo	-700603.4	-963333.2
F_69251	42.7	51.9	TB	TB	Jan Bohadlo	-700603.4	-963333.2
F_69251	51.9	53	TPw	TPw	Jan Bohadlo	-700603.4	-963333.2
F_69252	0	7	Q	Q	Jan Bohadlo	-700735.1	-963297
F_69252	7	42	TPw	TPw	Jan Bohadlo	-700735.1	-963297
F_69253	0	2.9	Q	Q	Jan Bohadlo	-700834.5	-963295.2
F_69253	2.9	37.7	TPw	TPw	Jan Bohadlo	-700834.5	-963295.2
F_69253	37.7	46	TB	TB	Jan Bohadlo	-700834.5	-963295.2
F_69258	0	3	Q	Q	Jan Bohadlo	-697499.8	-964840
F_69258	3	7	TPw	TPw	Jan Bohadlo	-697499.8	-964840
F_69258	7	11	Sx	Sx	Jan Bohadlo	-697499.8	-964840
F_69263	0	25	Q	Q	Jan Bohadlo	-698695.2	-964616.7
F_69264	0	13.8	Q	Q	Jan Bohadlo	-698657.8	-964247.7
F_69264	13.8	17	TPw	TPw	Jan Bohadlo	-698657.8	-964247.7
F_69265	0	25.5	Q	Q	Jan Bohadlo	-698569.2	-964713.1
F_69266	0	20	Q	Q	Jan Bohadlo	-698236.4	-964541.1
F_69266	20	26	TPw	TPw	Jan Bohadlo	-698236.4	-964541.1
F_69267	0	9.3	Q	Q	Jan Bohadlo	-698738.7	-964874.4
F_69267	9.3	13.2	TPw	TPw	Jan Bohadlo	-698738.7	-964874.4
F_69268	0	25	Q	Q	Jan Bohadlo	-698239.8	-962524
F_69269	0	25	Q	Q	Jan Bohadlo	-698179.4	-962330.8
F_69270	0	25	Q	Q	Jan Bohadlo	-698345.8	-962298.2
F_69271	0	18	Q	Q	Jan Bohadlo	-698064.8	-962226.2
F_69272	0	20	Q	Q	Jan Bohadlo	-697677.4	-962098.3
F_69273	0	15	Q	Q	Jan Bohadlo	-697741.1	-962351.4
F_69274	0	1.6	Q	Q	Jan Bohadlo	-700545.2	-962753.1
F_69274	1.6	18.5	TNw	TNw	Jan Bohadlo	-700545.2	-962753.1
F_69275	0	4.5	Q	Q	Jan Bohadlo	-699208.5	-963108
F_69275	4.5	10	TNw	TNw	Jan Bohadlo	-699208.5	-963108
F_69276	0	8	Q	Q	Jan Bohadlo	-698511.2	-962570.6
F_69277	0	5	Q	Q	Jan Bohadlo	-699952	-962118.8
F_69277	5	12	TNw	TNw	Jan Bohadlo	-699952	-962118.8
F_69278	0	5	Q	Q	Jan Bohadlo	-701083.3	-961175.9
F_69278	5	12	TNw	TNw	Jan Bohadlo	-701083.3	-961175.9
F_69279	0	8	Q	Q	Jan Bohadlo	-701650.6	-961241.4
F_69280	0	4.6	Q	Q	Jan Bohadlo	-701876.9	-960896.1
F_69280	4.6	11	TNw	TNw	Jan Bohadlo	-701876.9	-960896.1
F_69281	0	6.1	Q	Q	Jan Bohadlo	-702432.8	-960611
F_69281	6.1	9	TNw	TNw	Jan Bohadlo	-702432.8	-960611
F_69282	0	6	Q	Q	Jan Bohadlo	-703064.8	-962278.1
F_69283	0	4.5	Q	Q	Jan Bohadlo	-703342.1	-962895.4
F_69283	4.5	10	TNw	TNw	Jan Bohadlo	-703342.1	-962895.4
F_69284	0	6	Q	Q	Jan Bohadlo	-698210	-963576.7
F_69284	6	8	Sx	Sx	Jan Bohadlo	-698210	-963576.7
F_69285	0	11.9	Q	Q	Jan Bohadlo	-698161.2	-964142
F_69285	11.9	12	Sx	Sx	Jan Bohadlo	-698161.2	-964142
F_69286	0	17.7	Q	Q	Jan Bohadlo	-697820.6	-963766.2
F_69286	17.7	18	Sx	Sx	Jan Bohadlo	-697820.6	-963766.2
F_69287	0	15.5	Q	Q	Jan Bohadlo	-697571.5	-964117.5
F_69288	0	22.3	Q	Q	Jan Bohadlo	-697641.3	-964249.7
F_69289	0	16	Q	Q	Jan Bohadlo	-697985.9	-963996.2
F_69290	0	13	Q	Q	Jan Bohadlo	-697595.9	-964715.3
F_69290	13	15.3	Sx	Sx	Jan Bohadlo	-697595.9	-964715.3
F_69291	0	20	Q	Q	Jan Bohadlo	-697593.6	-963367.2
F_69291	20	22	Sx	Sx	Jan Bohadlo	-697593.6	-963367.2
F_69292	0	12	Q	Q	Jan Bohadlo	-697508.7	-963177.6
F_69292	12	14	Sx	Sx	Jan Bohadlo	-697508.7	-963177.6
